id,practice_id,creation_date,status,note,client_id
1,101,2021-01-01,Open,,1
2,102,2021-01-02,Close,,2
3,103,2021-01-03,Open,,3
4,104,2021-01-04,Close,,4
5,105,2021-01-05,Open,Test Note 1,5
6,106,2021-01-06,Close,,1
7,107,2021-01-07,Open,,2
8,108,2021-01-08,Close,,3
9,109,2021-01-09,Open,Test Note 2,4
10,110,2021-01-10,Close,,5
11,111,2021-01-11,Open,,1
12,112,2021-01-12,Close,,2
13,113,2021-01-13,Open,,3
14,114,2021-01-14,Close,Test note 3,4
15,115,2021-01-15,Open,,5
16,116,2021-01-16,Close,,1
17,117,2021-01-17,Open,,2
18,118,2021-01-18,Close,,3
19,119,2021-01-19,Open,Test Note 4,4
20,120,2021-01-20,Close,,5
21,121,2021-01-21,Open,,1
22,122,2021-01-22,Close,,2
23,123,2021-01-23,Close,,3
24,124,2021-01-24,Close,,4
25,125,2021-01-25,Open,,5
26,126,2021-01-26,Open,,1
27,127,2021-01-27,Open,,2
28,128,2021-01-28,Close,,3
29,129,2021-01-29,Open,,4
30,130,2021-01-30,Close,,5
31,131,2021-01-31,Open,,1
32,132,2021-02-01,Close,,2
33,133,2021-02-02,Open,,3
34,134,2021-02-03,Close,,4
35,135,2021-01-04,Open,,5
